id,lat,lon,name,street,postcode,brand
470362541,51.5051285,-0.0221906,Brera,Cabot Square,E14 4QT,
471488492,51.5117851,-0.0820271,Claudio's,Cullum Street,EC3M 7JJ,
472663741,51.5129814,-0.1560993,Cardinals of Mayfair,North Row,,
473484580,51.5001761,-0.0893173,Workman Cafe,Pilgrimage Street,SE1 4LL,
474360834,51.495317,-0.0770437,Best of Bermondsey,,,
474360835,51.4959452,-0.0788668,Embassy Cafe,,,
474360836,51.4965369,-0.0806743,Tas-Ty Snacks,,,
475381384,51.5172487,-0.0665909,Casablanca Cafe / Alauddin Sweets,Whitechapel Road,E1 1JX,
475578739,51.5511032,-0.1140186,Sacred Cafe,Hornsey Street,,
475895938,51.5987536,-0.0717022,Marmalade,,,
479652541,51.4267636,-0.0559198,Cobb’s Corner Cafe,Kirkdale,SE26 4RS,
482835015,51.4898615,-0.0964618,Cafe House,Walworth Road,SE17 1RW,
482835046,51.4863485,-0.0948103,Ranga Cafe,Walworth Road,SE17 2NA,
491814121,51.5684526,0.0085377,Le Parisien,,,
503721804,51.5613204,-0.1198616,Manor Gardens Cafe,,,
504319824,51.5666235,-0.0726743,Enjoy Cafe,Stamford Hill,N16 6XS,
506314233,51.4856774,-0.1235909,Starbucks,South Lambeth Place,SW8 1SP,Starbucks
506572408,51.5377299,-0.0996641,Unknown,Essex Road,,
506664965,51.4932526,-0.2237089,Caffè Nero,Hammersmith Broadway,W6 7AL,Caffè Nero
510785414,51.5218355,-0.1200728,The Espresso Room,Great Ormond Street,WC1N 3HZ,
510907367,51.5150674,-0.1940465,Caffè Nero,Westbourne Grove,W2 4UP,Caffè Nero
513785456,51.5158815,-0.1638511,Costa,,,Costa
522028723,51.4366401,-0.1046394,Thai Duck Deli,Norwood Road,SE27 9DQ,
522089531,51.4338129,-0.103872,Sorrento,Norwood Road,SE27 9AA,
522092724,51.4365775,-0.1050968,Taormina,Norwood Road,SE27 9AJ,
522095781,51.4372465,-0.1055431,The Electric Cafe,Norwood Road,SE27 9AJ,
529071762,51.5966835,-0.0681933,Titanic Cafe,,,
529096629,51.5953223,-0.0691479,Costa,High Road,N17 6SB,Costa
529116416,51.5883423,-0.0704043,Munch Box,High Road,N15 4BN,
529116438,51.5908807,-0.070331,Tradicia,,,
530815658,51.4694002,-0.2095248,VV Cafe,,,
534228497,51.5341825,-0.2196276,Arthur's Cafe,Station Terrace,,
534671858,51.511682,-0.1875856,Starbucks,Queensway,,Starbucks
534907516,51.5149324,-0.0977564,Caffè Nero,Newgate Street,EC1A 7HL,Caffè Nero
534964186,51.506748,-0.0906,Caffè Nero,Cathedral Street,SE1 9DE,Caffè Nero
534973107,51.5038414,-0.0951224,Damascan Kitchen,,,
535931751,51.587608,-0.063297,Costa,Broad Lane,N15 4QD,Costa
537956108,51.6505443,-0.1785967,Busy Bee Cafe,,,
544456208,51.5011196,-0.1246162,Caffè Nero,Bridge Street,SW1A 2JH,Caffè Nero
544460891,51.5020386,-0.1178012,Starbucks,Belvedere Road,SE1 7GQ,Starbucks
544504153,51.4973961,-0.1035181,Art Cafe,,,
548220279,51.5387596,-0.0985437,Unknown,,,
549122998,51.5193252,-0.1075476,La Forchetta,,,
549171171,51.5198485,-0.1071526,Bicafe,,,
551592909,51.4577868,-0.3062458,Tide Tables,Riverside,TW9 1TH,
554974745,51.52996,-0.1244199,Costa,,,Costa
559520875,51.5072772,-0.1283651,Caffè Nero,Trafalgar Square,WC2N 5DS,Caffè Nero
563200150,51.5158451,-0.1762672,Starbucks,,,Starbucks
566968127,51.5049527,-0.3051965,Paperback Coffee & Books,St Mary's Road,W5 5RG,
567015646,51.5176371,-0.0808327,Starbucks,Liverpool Street,EC2M 7PY,Starbucks
567052199,51.5059828,-0.3048787,Red Box,St Mary's Road,W5 5RG,
567822684,51.5165862,-0.1767977,Panopolis,,,
568541033,51.5072579,-0.1228872,Costa,,,Costa
568542316,51.507051,-0.122338,Starbucks,,,Starbucks
571285810,51.5410968,0.0014545,Starbucks,Broadway,E15 1NG,Starbucks
573320904,51.5082148,-0.1245247,The Pasty Shop,,WC2N 5HS,
573320919,51.5080331,-0.1252987,Costa,,,Costa
581057258,51.499562,-0.1141846,Sista Barista,Westminster Bridge Road,SE1 7HR,
581960142,51.5224662,-0.1035302,Roni's Cafe,Clerkenwell Road,,
581960643,51.5224819,-0.1034208,Knockbox Coffee,Clerkenwell Road,EC1M 5RS,
582630405,51.5148343,-0.1407765,Costa,Argyll Street,W1F 7TH,Costa
582793582,51.517546,-0.1426726,Starbucks,Langham Place,,Starbucks
582929618,51.5334104,-0.473864,More,,,
583286339,51.4748458,-0.1745798,Suzette,Battersea Square,SW11 3RA,
587775005,51.502499,-0.11761,La Cucina Di Mamma,Belvedere Road,SE1 7GQ,
588034827,51.5075005,-0.1267675,Costa,,,Costa
588474736,51.4948912,-0.0884898,Tokoton,Bartholomew Street,SE1 4AL,
